respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.056966791,0.310921107
26708,0.020092405,0.03857871
26709,0.381191593,0.509422586
26710,0.511116315,0.873881182
26711,0.169426793,0.458495747
26712,0.475982062,0.925518914
26713,0.309441195,0.566282272
26714,0.169308092,0.23492312
26715,0.037693577,0.143385967
26716,0.232576068,0.896331917
26717,0.011741769,0.296751104
26718,0.212387119,0.548768606
26719,0.064972702,0.906286452
26720,0.060828508,0.203813861
26721,0.140003686,0.286499011
26722,0.080880192,0.103086386
26723,0.688763813,0.864160775
26724,0.149653445,0.713406585
26725,0.033252732,0.105348578
26726,0.012912577,0.031910554
26727,0.356642748,0.84079843
26728,0.177036828,0.613108033
26729,0.407833971,0.897896478
26730,0.036872638,0.190293882
26731,0.021680565,0.331222765
26732,0.097224997,0.075578964
26733,0.916409255,0.947730118
26734,0.911832047,0.364687807
26735,0.137389169,0.44103076
26736,0.060648973,0.165889448
26737,0.096502809,0.102306416
26738,0.587862065,0.795643472
26739,0.136302928,0.258600595
26740,0.151531361,0.12269955
26741,0.189229951,0.89304927
26742,0.10581003,0.441175032
26743,0.046608282,0.551157831
26744,0.047787463,0.635547179
26745,0.102194371,0.923865879
26746,0.128051343,0.398318362
26747,0.073764687,0.155222115
26748,0.101181897,0.039848597
26749,0.116847933,0.698476665
26750,0.630600027,0.920585964
26751,0.299236809,0.712789431
26752,0.027594369,0.01991699
26753,0.240969015,0.68686871
26754,0.124345638,0.593909627
26755,0.106036561,0.378104011
26756,0.021785453,0.033121705
26757,0.415705708,0.509747674
26758,0.666697713,0.867556468
26759,0.034387435,0.188841504
26760,0.013307354,0.025126734
26761,0.154789183,0.599247752
26762,0.148393273,0.823691763
26763,0.909014146,0.969437015
26764,0.916865391,0.962058971
26765,0.02781636,0.662572429
26766,0.112638688,0.173424432
26767,0.780907952,0.728896321
26768,0.010238318,0.399774771
26769,0.123401054,0.157575412
26770,0.086448328,0.50273757
26771,0.060737791,0.197936999
26772,0.053139145,0.438598398
26773,0.01406144,0.472380614
26774,0.028762913,0.535755664
26775,0.068545776,0.485933198
26776,0.378956768,0.377727984
26777,0.105142046,0.936220879
26778,0.058167484,0.068542233
26779,0.12890447,0.529254623
26780,0.106618945,0.96307051
26781,0.037954787,0.467298493
26782,0.046871317,0.286859435
26783,0.074690001,0.328882646
26784,0.461230833,0.910822547
26785,0.374466011,0.635910535
26786,0.074557858,0.294839489
26787,0.091029829,0.481032488
26788,0.093921193,0.904400087
26789,0.011863704,0.227354468
26790,0.055325735,0.269445509
26791,0.031474805,0.10223674
26792,0.192116891,0.730075944
26793,0.122648122,0.902971704
26794,0.77360854,0.887249013
26795,0.049544278,0.954710969
26796,0.082881333,0.056224233
26797,0.116324061,0.625379304
26798,0.212544362,0.164119118
26799,0.286822667,0.277477135
26800,0.034343427,0.916743527
26801,0.228902469,0.340554773
26802,0.090839355,0.170830605
26803,0.057367682,0.152806078
26804,0.030228923,0.098426776
26805,0.041693933,0.192475356
26806,0.069095261,0.90854257
26807,0.670255312,0.95358958
26808,0.312384299,0.657928638
26809,0.51890762,0.121582524
26810,0.016677089,0.086260949
26811,0.042861524,0.052892179
26812,0.190636329,0.64482916
26813,0.33271832,0.312995331
26814,0.029363771,0.485180329
26815,0.045357023,0.083822907
26816,0.056174625,0.210240103
26817,0.19479284,0.8210396
26818,0.074585673,0.340842903
26819,0.403018713,0.430676684
26820,0.072808538,0.262696252
26821,0.094956859,0.590733399
26822,0.258677902,0.60045486
26823,0.424114758,0.532583306
26824,0.030793338,0.668107845
26825,0.364406202,0.698200539
26826,0.089772509,0.746638045
26827,0.013146448,0.073955954
26828,0.197382393,0.752112349
26829,0.61524128,0.924273417
26830,0.092156793,0.827188015
26831,0.222028608,0.841665876
26832,0.124631608,0.838424308
26833,0.005042307,0.277730448
26834,0.091144429,0.392215874
26835,0.354746393,0.889228509
26836,0.152001978,0.633449027
26837,0.033139588,0.011226424
26838,0.111336817,0.475916672
26839,0.166942335,0.554558519
26840,0.099014024,0.133234325
26841,0.3453502,0.779745419
26842,0.083600576,0.189193429
26843,0.042130712,0.016295835
26844,0.073664979,0.533315506
26845,0.039408889,0.651317742
26846,0.065944905,0.740781733
26847,0.334974448,0.137350431
26848,0.040437041,0.651856534
26849,0.131674583,0.536757888
26850,0.250936453,0.522835475
26851,0.031520306,0.064624571
26852,0.036718833,0.07020673
26853,0.516150629,0.581666564
26854,0.013785004,0.069378168
26855,0.561247509,0.852660922
26856,0.108626992,0.026223845
26857,0.421957792,0.157128119
26858,0.125008952,0.610978324
26859,0.065565794,0.087882984
26860,0.112099627,0.073526135
26861,0.094888389,0.075500611
26862,0.111338433,0.227758721
26863,0.219511985,0.424763699
26864,0.487000978,0.368980865
26865,0.015227143,0.039116642
26866,0.231178815,0.66276664
26867,0.113232501,0.181086734
26868,0.815036913,0.946062482
26869,0.108822508,0.289536049
26870,0.671089988,0.878394373
26871,0.049557861,0.041829361
26872,0.015173558,0.197170772
26873,0.111844598,0.831628197
26874,0.018281035,0.082205484
26875,0.641671769,0.898719512
26876,0.041142442,0.039767427
26877,0.049713839,0.104819787
